county,Year,Month,ndvi
Inyo,2008,4,0.21860000000000002
Mono,2008,4,0.11670000000000001
Tuolumne,2008,4,0.4904
Solano,2008,4,0.22825
San Bernardino,2008,4,0.08495
Contra Costa,2008,4,0.50105
Alpine,2008,4,0.14145000000000002
El Dorado,2008,4,0.67115
Yolo,2008,4,0.5488500000000001
Yuba,2008,4,0.64265
San Benito,2008,4,0.6474000000000001
Humboldt,2008,4,0.75095
Riverside,2008,4,0.12895
Kern,2008,4,0.2691
Colusa,2008,4,0.3554
Del Norte,2008,4,0.74795
Modoc,2008,4,0.25295
Fresno,2008,4,0.34405
Madera,2008,4,0.56205
Santa Clara,2008,4,0.6427
Tehama,2008,4,0.5561
San Joaquin,2008,4,0.37835
Alameda,2008,4,0.7247
Nevada,2008,4,0.6796
Butte,2008,4,0.5632
Merced,2008,4,0.23390000000000002
Tulare,2008,4,0.7080000000000001
Stanislaus,2008,4,0.50715
Orange,2008,4,0.28285
Imperial,2008,4,0.7011000000000001
Sutter,2008,4,0.22605
Amador,2008,4,0.68095
Lake,2008,4,0.6672
Plumas,2008,4,0.7300500000000001
San Mateo,2008,4,0.7243
Siskiyou,2008,4,0.4565
Santa Cruz,2008,4,0.75375
Glenn,2008,4,0.4913
San Luis Obispo,2008,4,0.5574
Sierra,2008,5,0.37605
Sacramento,2008,5,0.3524
Santa Barbara,2008,5,0.6535500000000001
Calaveras,2008,5,0.63595
Ventura,2008,5,0.5602
Los Angeles,2008,5,0.5879
Sonoma,2008,5,0.8280000000000001
Kings,2008,5,0.52415
San Diego,2008,5,0.35775
Placer,2008,5,0.7923
San Francisco,2008,5,
Marin,2008,5,0.5286000000000001
Mariposa,2008,5,0.6858500000000001
Lassen,2008,5,0.45180000000000003
Napa,2008,5,0.62305
Shasta,2008,5,0.75885
Monterey,2008,5,0.4
Trinity,2008,5,0.7364
Mendocino,2008,5,0.7955
Inyo,2008,5,0.21095
Mono,2008,5,0.2058
Tuolumne,2008,5,0.5757
Solano,2008,5,0.1418
San Bernardino,2008,5,0.0835
Contra Costa,2008,5,0.40900000000000003
Alpine,2008,5,0.48625
El Dorado,2008,5,0.6884
Yolo,2008,5,0.40940000000000004
Yuba,2008,5,0.5239
San Benito,2008,5,0.47615
Humboldt,2008,5,0.78215
Riverside,2008,5,0.12235
Kern,2008,5,0.22495
Colusa,2008,5,0.45725000000000005
Del Norte,2008,5,0.7494500000000001
Modoc,2008,5,0.28405
Fresno,2008,5,0.32585000000000003
Madera,2008,5,0.42800000000000005
Santa Clara,2008,5,0.44830000000000003
Tehama,2008,5,0.40055
San Joaquin,2008,5,0.35775
Alameda,2008,5,0.6222500000000001
Nevada,2008,5,0.731
Butte,2008,5,0.45465
Merced,2008,5,0.28340000000000004
Tulare,2008,5,0.55745
Stanislaus,2008,5,0.4576
Orange,2008,5,0.33495
Imperial,2008,5,0.631
Sutter,2008,5,0.12715
Amador,2008,5,0.6287
Lake,2008,5,0.7113
Plumas,2008,5,0.7080000000000001
San Mateo,2008,5,0.7116
Siskiyou,2008,5,0.3786
Santa Cruz,2008,5,0.70955
Glenn,2008,5,0.35265
San Luis Obispo,2008,5,0.4994
Sierra,2008,6,0.56155
Sacramento,2008,6,0.34065
Santa Barbara,2008,6,0.6488
Calaveras,2008,6,0.6064
Ventura,2008,6,0.49795
Los Angeles,2008,6,0.5541
Sonoma,2008,6,0.8199000000000001
Kings,2008,6,0.44920000000000004
San Diego,2008,6,0.33265
Placer,2008,6,0.8356
San Francisco,2008,6,
Marin,2008,6,0.5084000000000001
Mariposa,2008,6,0.7302000000000001
Lassen,2008,6,0.42315
Napa,2008,6,0.5870500000000001
Shasta,2008,6,0.7203
Monterey,2008,6,0.35585
Trinity,2008,6,0.7694000000000001
Mendocino,2008,6,0.78685
Inyo,2008,6,0.18915
Mono,2008,6,0.27675
Tuolumne,2008,6,0.6262
Solano,2008,6,0.19460000000000002
San Bernardino,2008,6,0.08070000000000001
Contra Costa,2008,6,0.3189
Alpine,2008,6,0.4546
El Dorado,2008,6,0.7196
Yolo,2008,6,0.42055000000000003
Yuba,2008,6,0.48915000000000003
San Benito,2008,6,0.37210000000000004
Humboldt,2008,6,0.75565
Riverside,2008,6,0.11455
Kern,2008,6,0.19515000000000002
Colusa,2008,6,0.73165
Del Norte,2008,6,0.7319
Modoc,2008,6,0.23295000000000002
Fresno,2008,6,0.3073
Madera,2008,6,0.39875
Santa Clara,2008,6,0.39625000000000005
Tehama,2008,6,0.2984
San Joaquin,2008,6,0.33285000000000003
Alameda,2008,6,0.61845
Nevada,2008,6,0.77625
Butte,2008,6,0.38195
Merced,2008,6,0.49860000000000004
Tulare,2008,6,0.5165000000000001
Stanislaus,2008,6,0.4408
Orange,2008,6,0.332
Imperial,2008,6,0.50785
Sutter,2008,6,0.64075
Amador,2008,6,0.6621
Lake,2008,6,0.7398
Plumas,2008,6,0.7463000000000001
San Mateo,2008,6,0.6912
Siskiyou,2008,6,0.3274
Santa Cruz,2008,6,0.7392000000000001
Glenn,2008,6,0.2604
San Luis Obispo,2008,6,0.4752
Sierra,2008,7,0.58585
Sacramento,2008,7,0.32165
Santa Barbara,2008,7,0.6093500000000001
Calaveras,2008,7,0.56305
Ventura,2008,7,0.4566
Los Angeles,2008,7,0.49705000000000005
Sonoma,2008,7,0.8267
Kings,2008,7,0.33565
San Diego,2008,7,0.31695
Placer,2008,7,0.8196
San Francisco,2008,7,
Marin,2008,7,0.4521
Mariposa,2008,7,0.6967
Lassen,2008,7,0.37055
Napa,2008,7,0.5796
Shasta,2008,7,0.7259
Monterey,2008,7,0.3466
Trinity,2008,7,0.78615
Mendocino,2008,7,0.80815
Inyo,2008,7,0.1778
Mono,2008,7,0.3219
Tuolumne,2008,7,0.6354500000000001
Solano,2008,7,0.18675
San Bernardino,2008,7,0.07680000000000001
Contra Costa,2008,7,0.3069
Alpine,2008,7,0.47025
El Dorado,2008,7,0.7233
Yolo,2008,7,0.32075000000000004
Yuba,2008,7,0.45035000000000003
San Benito,2008,7,0.3472
Humboldt,2008,7,0.76675
Riverside,2008,7,0.11485000000000001
Kern,2008,7,0.2
Colusa,2008,7,0.7864
Del Norte,2008,7,0.7469
Modoc,2008,7,0.2039
Fresno,2008,7,0.28355
Madera,2008,7,0.37615000000000004
Santa Clara,2008,7,0.36695
Tehama,2008,7,0.30205000000000004
San Joaquin,2008,7,0.3356
Alameda,2008,7,0.58945
Nevada,2008,7,0.7737
Butte,2008,7,0.36645
Merced,2008,7,0.65125
Tulare,2008,7,0.47635
Stanislaus,2008,7,0.59285
Orange,2008,7,0.34885
Imperial,2008,7,0.4394
Sutter,2008,7,0.8602500000000001
Amador,2008,7,0.63905
Lake,2008,7,0.7066
Plumas,2008,7,0.74985
San Mateo,2008,7,0.62275
Siskiyou,2008,7,0.309
Santa Cruz,2008,7,0.71525
Glenn,2008,7,0.24000000000000002
San Luis Obispo,2008,7,0.44745
Sierra,2008,8,0.5695
Sacramento,2008,8,0.36105000000000004
Santa Barbara,2008,8,0.6036
Calaveras,2008,8,0.5758
Ventura,2008,8,0.45415
Los Angeles,2008,8,0.51125
Sonoma,2008,8,0.8136
Kings,2008,8,0.25485
San Diego,2008,8,0.3398
Placer,2008,8,0.8162
San Francisco,2008,8,
Marin,2008,8,0.4456
Mariposa,2008,8,0.6654
Lassen,2008,8,0.35765
Napa,2008,8,0.56975
Shasta,2008,8,0.68215
Monterey,2008,8,0.3448
Trinity,2008,8,0.77095
Mendocino,2008,8,0.80205
Inyo,2008,8,0.1741
Mono,2008,8,0.22590000000000002
Tuolumne,2008,8,0.6284000000000001
Solano,2008,8,0.11165
San Bernardino,2008,8,0.07595
Contra Costa,2008,8,0.30565000000000003
Alpine,2008,8,0.46305
El Dorado,2008,8,0.7160500000000001
Yolo,2008,8,0.2634
Yuba,2008,8,0.43755
San Benito,2008,8,0.31605
Humboldt,2008,8,0.7149
