"date","county","maxtempF","mintempF","avgtempF","totalSnow_cm","humid","wind","precip","sunHour","lat","long"
"2008-07","Sacramento County","97.29032258064515","63.41935483870968","86.51612903225806","0.0","39.83870967741935","4.741935483870968","0.0","13.741935483870972","38.45000000000002","-121.34000000000006"
"2008-07","Santa Barbara County","89.12903225806451","59.70967741935484","80.54838709677419","0.0","41.45161290322581","7.354838709677419","0.0","13.164516129032268","34.539999999999985","-120.03999999999998"
"2008-07","Shasta County","93.83870967741936","55.45161290322581","84.35483870967742","0.0","36.0","6.096774193548387","0.0","14.025806451612906","40.76","-122.03999999999998"
"2008-08","Sacramento County","96.96774193548389","64.6774193548387","85.61290322580645","0.0","38.45161290322581","4.548387096774194","0.0","11.600000000000003","38.45000000000002","-121.34000000000006"
"2008-08","Santa Barbara County","89.74193548387096","60.74193548387097","80.38709677419355","0.0","41.83870967741935","6.548387096774194","0.0032258064516129032","11.600000000000003","34.539999999999985","-120.03999999999998"
"2008-08","Shasta County","92.4516129032258","55.29032258064516","81.6774193548387","0.0","36.58064516129032","6.935483870967742","0.0","11.600000000000003","40.76","-122.03999999999998"
"2008-09","Sacramento County","94.7","62.266666666666666","82.76666666666667","0.0","37.1","3.966666666666667","0.0","11.593333333333334","38.45000000000002","-121.34000000000006"
"2008-09","Santa Barbara County","87.8","59.9","77.6","0.0","40.13333333333333","6.933333333333334","0.0","11.6","34.539999999999985","-120.03999999999998"
"2008-09","Shasta County","87.83333333333333","49.63333333333333","74.76666666666667","0.0","32.56666666666667","6.033333333333333","0.0","11.59","40.76","-122.03999999999998"
"2008-10","Sacramento County","80.16129032258064","57.70967741935484","71.0","0.0","38.225806451612904","5.096774193548387","0.035483870967741936","10.938709677419354","38.45000000000002","-121.34000000000006"
"2008-10","Santa Barbara County","82.48387096774194","56.74193548387097","72.09677419354838","0.0","32.54838709677419","7.548387096774194","0.0","11.103225806451611","34.539999999999985","-120.03999999999998"
"2008-10","Shasta County","71.64516129032258","43.935483870967744","61.12903225806452","0.0","44.41935483870968","7.354838709677419","0.07741935483870968","10.687096774193549","40.76","-122.03999999999998"
"2008-11","Sacramento County","67.16666666666667","49.2","59.7","0.0","64.3","4.2","0.16333333333333336","8.62333333333333","38.45000000000002","-121.34000000000006"
"2008-11","Santa Barbara County","74.16666666666667","52.6","64.6","0.0","49.43333333333333","7.6","0.06333333333333334","8.983333333333329","34.539999999999985","-120.03999999999998"
"2008-11","Shasta County","61.56666666666667","37.93333333333333","50.53333333333333","0.0","66.96666666666667","6.133333333333334","0.15666666666666668","8.379999999999995","40.76","-122.03999999999998"
"2008-12","Sacramento County","53.83870967741935","39.25806451612903","47.87096774193548","0.0","68.74193548387096","5.32258064516129","0.15161290322580645","7.806451612903223","38.45000000000002","-121.34000000000006"
"2008-12","Santa Barbara County","61.483870967741936","43.354838709677416","53.54838709677419","0.0","59.67741935483871","7.387096774193548","0.09032258064516129","8.33870967741935","34.539999999999985","-120.03999999999998"
"2008-12","Shasta County","49.354838709677416","28.41935483870968","40.03225806451613","0.8516129032258064","73.38709677419355","6.580645161290323","0.20967741935483872","7.441935483870967","40.76","-122.03999999999998"
"2009-01","Sacramento County","60.70967741935484","42.83870967741935","53.29032258064516","0.0","66.2258064516129","4.161290322580645","0.08387096774193549","9.245161290322583","38.45000000000002","-121.34000000000006"
"2009-01","Santa Barbara County","69.12903225806451","48.38709677419355","59.61290322580645","0.0","44.67741935483871","6.870967741935484","0.03548387096774193","9.845161290322576","34.539999999999985","-120.03999999999998"
"2009-01","Shasta County","55.54838709677419","32.83870967741935","45.16129032258065","0.0","69.03225806451613","6.870967741935484","0.06129032258064516","9.25161290322581","40.76","-122.03999999999998"
"2009-02","Sacramento County","57.75","42.892857142857146","51.642857142857146","0.0","78.21428571428571","7.642857142857143","0.29642857142857143","9.560714285714283","38.45000000000002","-121.34000000000005"
"2009-02","Santa Barbara County","59.892857142857146","43.82142857142857","53.10714285714285","0.0","71.46428571428571","7.785714285714286","0.2464285714285714","9.807142857142855","34.539999999999985","-120.03999999999998"
"2009-02","Shasta County","49.5","31.892857142857142","42.035714285714285","0.2535714285714286","82.0","6.892857142857143","0.36428571428571427","8.785714285714286","40.76","-122.03999999999998"
"2009-03","Sacramento County","62.935483870967744","44.16129032258065","55.74193548387097","0.0","73.87096774193549","5.612903225806452","0.2064516129032258","10.632258064516131","38.45000000000002","-121.34000000000006"
"2009-03","Santa Barbara County","67.48387096774194","45.0","58.80645161290322","0.0","57.12903225806452","7.741935483870968","0.035483870967741936","11.341935483870971","34.539999999999985","-120.03999999999998"
"2009-03","Shasta County","56.2258064516129","31.741935483870968","47.29032258064516","0.0","74.3225806451613","7.451612903225806","0.2032258064516129","10.590322580645164","40.76","-122.03999999999998"
"2009-04","Sacramento County","71.1","46.6","62.66666666666666","0.0","61.2","5.366666666666666","0.07333333333333333","11.386666666666668","38.45000000000002","-121.34000000000006"
"2009-04","Santa Barbara County","71.06666666666666","45.4","62.6","0.0","49.43333333333333","8.7","0.010000000000000002","11.513333333333335","34.539999999999985","-120.03999999999998"
"2009-04","Shasta County","64.63333333333334","35.86666666666667","55.7","0.0","57.9","6.333333333333333","0.02666666666666667","11.303333333333336","40.76","-122.03999999999998"
"2009-05","Sacramento County","82.96774193548387","56.16129032258065","74.16129032258064","0.0","55.645161290322584","4.645161290322581","0.07419354838709677","13.36774193548387","38.45000000000002","-121.34000000000006"
"2009-05","Santa Barbara County","81.41935483870968","53.32258064516129","72.74193548387096","0.0","48.74193548387097","7.935483870967742","0.0032258064516129032","13.387096774193548","34.539999999999985","-120.03999999999998"
