"UNIT_ID","FIRE_NAME","ALARM_DATE","CONT_DATE","CAUSE","REPORT_AC","GIS_ACRES","SHAPE_Length","SHAPE_Area"
"Santa Barbara County","WEST","2010-07","2010/07/21 00:00:00+00","2.0","10.0","11.327573","1017.56003183234","67696.2651001233"
"Santa Barbara County","POZO","2010-08","2010/09/07 00:00:00+00","9.0","1152.0","1150.365","21174.2565191743","7010007.27447476"
"Santa Barbara County","FIGUEROA","2010-11","2010/12/02 00:00:00+00","18.0","75.0","74.598015","3585.44836293857","448100.475500043"
"Shasta County","PATTERSON","2010-07","2010/07/06 00:00:00+00","1.0","11.0","10.771226","1421.62933276958","77525.1608718709"
"Shasta County","CONSTANTIA","2010-07","2010/08/12 00:00:00+00","1.0","","1452.9331","21455.5333122029","10013197.3444676"
"Shasta County","MCDONALD","2010-07","2010/08/10 00:00:00+00","1.0","9408.0","9406.0332","87739.3697861456","66786673.6931741"
"Shasta County","COLEMAN","2010-08","2010/08/07 00:00:00+00","1.0","279.0","274.66986","13524.4854424517","2013248.45808754"
"Shasta County","ANNIE","2010-08","2010/08/04 00:00:00+00","1.0","257.0","249.14049","6791.76266925313","1820964.8799154"
"Santa Barbara County","166","2010-07","2010/07/13 00:00:00+00","14.0","357.0","356.93842","7426.53739685468","2155396.33219137"
"Santa Barbara County","ALISO","2011-06","2011/06/13 00:00:00+00","9.0","37.0","35.078632","2158.74269779751","211216.098786446"
"Santa Barbara County","BUCKHORN","2011-09","2011/09/17 00:00:00+00","1.0","63.0","65.540863","2919.48434458509","396602.362636343"
"Santa Barbara County","CIELO","2011-10","2011/10/27 00:00:00+00","9.0","","17.606363","2067.89776601561","105179.955328391"
"Santa Barbara County","FIGUERO","2011-09","2011/09/12 00:00:00+00","2.0","698.0","675.55933","10367.2354709734","4069234.43556183"
"Santa Barbara County","FRAZIER 1","2011-09","2011/09/13 00:00:00+00","1.0","","15.863373","1461.48349449898","95424.0733349768"
"Santa Barbara County","GOAT","2011-09","2011/09/13 00:00:00+00","1.0","102.0","107.00669","3918.60857817067","642197.063576428"
"Santa Barbara County","HURRICANE","2011-09","2011/09/13 00:00:00+00","1.0","105.0","124.80997","4759.48593205193","751195.811466207"
"Santa Barbara County","QUARRY","2011-09","2011/09/14 00:00:00+00","1.0","13.0","13.498419","1306.16761255996","81514.6126484434"
"Santa Barbara County","RANGE","2011-06","2011/06/04 00:00:00+00","9.0","20.7","22.587418","2392.84980289221","135993.503302219"
"Santa Barbara County","SALT","2011-09","2011/09/16 00:00:00+00","1.0","15.0","15.177082","1364.23141423482","91510.6649005284"
"Santa Barbara County","STATION","2011-10","2011/11/01 00:00:00+00","9.0","30.0","24.005936","2217.50021104471","144553.458103733"
"Shasta County","ANNIE","2011-08","2011/08/26 00:00:00+00","14.0","2076.0","2075.7798","18354.24011021","15184435.7352329"
"Shasta County","DEPOT","2011-08","2011/08/18 00:00:00+00","14.0","19.9","19.624916","2006.08683358014","136004.269930431"
"Shasta County","HERLONG","2011-07","2011/07/17 00:00:00+00","14.0","325.0","324.90707","9498.04146776015","2251290.75998655"
"Shasta County","HOG","2011-07","2011/08/05 00:00:00+00","1.0","267.5","267.35284","9469.15721685927","1890640.81388395"
"Shasta County","HOLBROOK 2","2011-09","2011/09/26 00:00:00+00","1.0","85.5","84.093613","5927.0088243223","599853.599397339"
"Santa Barbara County","ALISOS","2011-06","2011/06/30 00:00:00+00","9.0","172.0","171.70363","5470.27841149663","1031682.15566222"
"Santa Barbara County","CANYON","2011-08","2011/08/11 00:00:00+00","2.0","189.0","188.97867","6903.32039456343","1139894.18706951"
"Santa Barbara County","BLUE","2012-08","2012/08/20 00:00:00+00","1.0","27.0","27.259394","2503.27889525294","162871.281173733"
